Time 	 AccX 	 AccY 	 AccZ 	 GyroX 	 GyroY 	 GyroZ
9.497	1.29	0.81	-9.93	-0.00	-0.02	0.10
9.525	1.22	0.86	-9.50	-0.03	0.07	0.02
9.551	0.93	0.85	-9.69	0.01	-0.08	-0.02
9.579	0.93	0.73	-9.69	-0.02	0.07	-0.01
9.606	0.86	0.68	-9.76	-0.03	-0.04	-0.03
9.635	0.87	0.75	-9.78	-0.02	-0.01	0.01
9.663	0.93	0.62	-9.66	-0.04	0.14	-0.03
9.690	0.78	0.65	-9.82	0.19	-0.15	-0.03
9.716	0.80	0.65	-9.81	-0.02	0.04	0.10
9.744	0.83	0.72	-9.78	0.03	-0.10	-0.12
9.771	0.85	0.65	-9.75	-0.04	-0.03	-0.07
9.798	0.80	0.74	-9.82	0.01	-0.03	0.03
9.825	0.87	0.68	-9.78	-0.07	-0.03	0.02
9.852	0.95	0.65	-9.77	0.01	0.01	0.03
9.879	0.85	0.70	-9.72	0.11	-0.08	-0.09
9.906	0.91	0.74	-9.72	0.01	0.15	-0.01
9.933	0.81	0.63	-9.73	0.03	0.05	0.10
9.960	0.88	0.73	-9.75	-0.04	0.00	-0.07
9.990	0.89	0.67	-9.68	-0.02	0.03	0.05
10.017	0.83	0.72	-9.71	-0.02	0.03	0.03
10.044	0.87	0.71	-9.81	-0.05	0.04	-0.03
10.072	0.88	0.74	-9.76	0.03	0.03	-0.01
10.098	0.86	0.69	-9.83	-0.10	-0.01	-0.03
10.126	0.86	0.75	-9.75	0.04	-0.06	-0.04
10.152	0.87	0.68	-9.77	-0.04	0.09	0.09
10.180	0.83	0.66	-9.74	-0.08	0.03	0.03
10.207	0.88	0.76	-9.75	-0.00	0.00	0.01
10.234	0.82	0.73	-9.88	-0.03	0.06	0.12
10.261	0.91	0.66	-9.70	0.01	-0.04	0.07
10.289	0.92	0.73	-9.68	0.10	-0.04	0.05
10.315	0.89	0.76	-9.78	0.04	0.07	0.06
10.346	0.87	0.73	-9.75	-0.06	0.09	-0.08
10.373	0.78	0.68	-9.78	-0.06	0.10	0.04
10.400	0.79	0.68	-9.77	0.07	-0.04	0.02
10.427	0.85	0.72	-9.71	0.05	0.06	0.05
10.455	-0.21	0.33	-9.58	-0.12	-0.04	-0.02
