Time 	 AccX 	 AccY 	 AccZ 	 GyroX 	 GyroY 	 GyroZ
7.389	-0.22	2.49	-10.20	0.09	0.14	-0.05
7.415	0.04	-0.96	-9.88	0.05	-0.05	-0.17
7.443	1.70	1.31	-9.29	-0.07	0.13	-0.07
7.470	1.64	1.40	-9.51	-0.00	0.08	-0.01
7.497	2.92	0.24	-7.44	-0.05	0.11	-0.07
7.524	1.40	0.80	-11.49	0.13	-0.07	-0.05
7.552	-0.69	-1.39	-9.31	-0.04	0.06	0.10
7.578	-0.63	0.75	-11.05	0.10	-0.06	-0.04
7.606	1.59	1.22	-8.71	0.01	0.03	-0.20
7.632	3.17	1.17	-8.74	0.07	0.02	-0.09
7.659	1.92	0.62	-9.63	-0.02	0.05	-0.16
7.687	4.06	-0.76	-8.79	0.05	0.02	-0.10
7.713	-0.36	0.02	-10.34	0.03	-0.00	0.05
7.744	0.96	0.78	-10.22	-0.16	-0.01	0.06
7.771	2.53	0.29	-10.06	-0.06	0.14	-0.03
7.798	2.35	1.75	-8.84	-0.01	-0.08	-0.00
7.825	2.81	-0.47	-10.00	0.07	0.06	-0.10
7.853	0.55	-2.82	-9.58	-0.02	0.06	-0.08
7.879	1.39	2.75	-10.09	0.00	-0.03	-0.03
7.907	0.45	0.50	-9.84	0.01	0.09	0.06
7.933	0.47	4.07	-9.18	0.06	0.11	-0.16
7.960	-0.17	-2.45	-9.61	-0.06	-0.27	-0.14
7.988	4.17	1.67	-12.00	-0.01	-0.15	-0.15
8.014	-0.14	1.49	-7.01	0.10	-0.10	-0.10
8.042	1.15	-0.17	-10.33	-0.05	0.07	-0.02
8.069	0.72	-0.78	-9.62	0.13	-0.01	-0.23
8.099	0.67	-0.73	-8.09	-0.04	0.01	-0.04
8.126	2.08	1.96	-10.28	-0.04	-0.09	-0.15
8.154	0.00	0.76	-10.51	0.01	-0.14	-0.01
8.180	2.15	0.14	-9.96	0.09	-0.10	-0.03
8.208	-0.49	0.68	-8.43	-0.11	0.00	0.09
8.235	1.95	0.75	-10.11	0.03	-0.13	-0.01
8.262	0.54	1.11	-10.33	0.03	0.07	0.04
8.289	-0.68	0.24	-9.89	0.03	0.05	-0.12
8.315	0.71	0.81	-9.67	0.06	0.07	0.13
8.343	0.96	1.03	-9.08	-0.04	0.01	-0.16
8.370	0.01	0.22	-8.84	0.18	-0.04	-0.04
8.413	1.44	-0.65	-10.44	0.06	-0.08	-0.09
8.440	-0.10	0.05	-8.76	-0.14	0.06	-0.12
8.470	3.68	0.32	-11.17	0.02	0.00	-0.02
